date,spy
2019-10-01,281.8121338
2019-10-02,276.8340454
2019-10-03,279.1021118
2019-10-04,282.8789063
2019-10-07,281.6584167
2019-10-08,277.2857056
2019-10-09,279.9189453
2019-10-10,281.8121338
2019-10-11,284.7336731
2019-10-14,284.4165344
2019-10-15,287.2323608
2019-10-16,286.7710876
2019-10-17,287.6167603
2019-10-18,286.3578491
2019-10-21,288.2991028
2019-10-22,287.3573303
2019-10-23,288.1934509
2019-10-24,288.6643066
2019-10-25,289.8463135
2019-10-28,291.4801331
2019-10-29,291.3936462
2019-10-30,292.2874146
2019-10-31,291.5089417
2019-11-01,294.2093811
2019-11-04,295.3915405
2019-11-05,295.0647888
2019-11-06,295.1319885
2019-11-07,296.1699524
2019-11-08,296.9003296
2019-11-11,296.333313
2019-11-12,296.9580078
2019-11-13,297.0541077
2019-11-14,297.4865723
2019-11-15,299.6392822
2019-11-18,299.8602905
2019-11-19,299.7737732
2019-11-20,298.6590271
2019-11-21,298.1784973
2019-11-22,298.8416138
2019-11-25,301.1576843
2019-11-26,301.8399658
2019-11-27,303.1854553
2019-11-29,302.0610962
2019-12-02,299.4951172
2019-12-03,297.4865723
2019-12-04,299.322113
2019-12-05,299.8602905
2019-12-06,302.5992432
2019-12-09,301.6478271
2019-12-10,301.3114319
2019-12-11,302.1667786
2019-12-12,304.7711792
2019-12-13,304.9537048
2019-12-16,307.0487671
2019-12-17,307.1160583
2019-12-18,307.1352844
2019-12-19,308.3942261
2019-12-20,309.7463074
2019-12-23,310.2195129
2019-12-24,310.2291565
2019-12-26,311.8805542
2019-12-27,311.8033142
2019-12-30,310.0842896
2019-12-31,310.8375549
2020-01-02,313.7445068
2020-01-03,311.3687439
2020-01-06,312.5566406
2020-01-07,311.6777954
2020-01-08,313.3389282
2020-01-09,315.4635315
2020-01-10,314.5557556
2020-01-13,316.7189941
2020-01-14,316.2361755
2020-01-15,316.9508667
2020-01-16,319.5873108
2020-01-17,320.5820313
2020-01-21,319.9542847
2020-01-22,319.9929199
2020-01-23,320.3599548
2020-01-24,317.5108948
2020-01-27,312.4214478
2020-01-28,315.6953125
2020-01-29,315.4345398
2020-01-30,316.4582825
2020-01-31,310.7120361
2020-02-03,313.0202026
2020-02-04,317.7909851
2020-02-05,321.4608765
2020-02-06,322.542572
2020-02-07,320.8235168
2020-02-10,323.2185059
2020-02-11,323.7786865
2020-02-12,325.8647156
2020-02-13,325.5170288
2020-02-14,326.0385132
2020-02-18,325.1983643
2020-02-19,326.7532043
2020-02-20,325.4108276
2020-02-21,322.0596619
2020-02-24,311.378418
2020-02-25,301.9429626
2020-02-26,300.832428
2020-02-27,287.3214722
2020-02-28,286.1143188
2020-03-02,298.5048828
2020-03-03,289.9579773
2020-03-04,302.1457825
2020-03-05,292.1019287
2020-03-06,287.2731934
2020-03-09,264.8387146
2020-03-10,278.5427551
2020-03-11,264.9642944
2020-03-12,239.6132355
2020-03-13,260.0968933
2020-03-16,231.6360931
2020-03-17,244.1426086
2020-03-18,231.7809601
2020-03-19,232.2734833
2020-03-20,222.2638397
2020-03-23,216.5809784
2020-03-24,236.2039185
2020-03-25,239.7399292
2020-03-26,253.738266
2020-03-27,246.1805115
2020-03-30,254.1753845
2020-03-31,250.3868256
2020-04-01,239.1182098
2020-04-02,244.6359711
2020-04-03,241.0999603
2020-04-06,257.2937317
2020-04-07,257.5560303
2020-04-08,266.2017822
2020-04-09,270.2526855
2020-04-13,267.7851868
2020-04-14,275.6829834
2020-04-15,269.8251953
2020-04-16,271.1269836
2020-04-17,278.4515381
2020-04-20,273.5458069
2020-04-21,265.2400513
2020-04-22,271.1269836
2020-04-23,271.1074829
2020-04-24,274.8863525
2020-04-27,278.849823
2020-04-28,277.5674744
2020-04-29,284.8338318
2020-04-30,282.1818542
2020-05-01,274.7114868
2020-05-04,275.4692383
2020-05-05,278.0143738
2020-05-06,276.1298218
2020-05-07,279.4618225
2020-05-08,284.0858459
2020-05-11,284.144165
2020-05-12,278.4806824
2020-05-13,273.5555115
2020-05-14,276.8292542
