date,price
2012-01-05,105.3953094
2012-01-06,105.1236801
2012-01-09,105.3788605
2012-01-10,106.2925415
2012-01-11,106.3501587
2012-01-12,106.6053314
2012-01-13,106.0538559
2012-01-17,106.4654236
2012-01-18,107.6424942
2012-01-19,108.210495
2012-01-20,108.6138
2012-01-23,108.3339386
2012-01-24,108.210495
2012-01-25,109.1159439
2012-01-26,108.5562134
2012-01-27,108.5068207
2012-01-30,108.1364059
2012-01-31,108.0952301
2012-02-01,109.041832
2012-02-02,109.2146759
2012-02-03,110.7457428
2012-02-06,110.671669
2012-02-07,110.9515076
2012-02-08,111.2807999
2012-02-09,111.4207382
2012-02-10,110.59758
2012-02-13,111.4207382
2012-02-14,111.2807999
2012-02-15,110.762207
2012-02-16,111.9887009
2012-02-17,112.2850418
2012-02-21,112.3343887
2012-02-22,111.9722595
2012-02-23,112.4661026
2012-02-24,112.7130508
2012-02-27,112.9024048
2012-02-28,113.2316513
2012-02-29,112.787178
2012-03-01,113.371582
2012-03-02,113.0258408
2012-03-05,112.5648956
2012-03-06,110.9186096
2012-03-07,111.6923599
2012-03-08,112.8035812
2012-03-09,113.2398911
2012-03-12,113.2481155
2012-03-13,115.2895126
2012-03-14,115.1660385
2012-03-15,115.8327637
2012-03-16,115.9931793
2012-03-19,116.4478836
2012-03-20,116.1089249
2012-03-21,115.9187851
2012-03-22,115.0837021
2012-03-23,115.45578
2012-03-26,117.0762253
2012-03-27,116.7124481
2012-03-28,116.133728
2012-03-29,115.9352646
2012-03-30,116.4148331
2012-04-02,117.2664032
2012-04-03,116.7868271
2012-04-04,115.6294174
2012-04-05,115.5715027
2012-04-09,114.2735214
2012-04-10,112.3554535
2012-04-11,113.2649002
2012-04-12,114.7447586
2012-04-13,113.3805923
2012-04-16,113.3062592
2012-04-17,114.98452
2012-04-18,114.5959854
2012-04-19,113.8601532
2012-04-20,114.0503159
2012-04-23,113.0912628
2012-04-24,113.5211716
2012-04-25,115.0755005
2012-04-26,115.8774033
2012-04-27,116.0676117
2012-04-30,115.6376419
2012-05-01,116.3569489
2012-05-02,116.0096893
2012-05-03,115.1250992
2012-05-04,113.2649002
2012-05-07,113.3475571
2012-05-08,112.8928375
2012-05-09,112.223175
2012-05-10,112.4546967
2012-05-11,112.1157074
2012-05-14,110.8755951
2012-05-15,110.2389984
2012-05-16,109.8173523
2012-05-17,108.1886292
2012-05-18,107.2626801
2012-05-21,109.1063385
2012-05-22,109.2964859
2012-05-23,109.3543777
2012-05-24,109.5692902
2012-05-25,109.2138214
2012-05-29,110.5366287
2012-05-30,108.9327164
2012-05-31,108.6929855
2012-06-01,105.9564362
2012-06-04,105.9068222
2012-06-05,106.7087708
2012-06-06,109.1063385
2012-06-07,109.1724777
2012-06-08,110.0405502
2012-06-11,108.6433945
2012-06-12,109.8917542
2012-06-13,109.1890335
2012-06-14,110.3464584
2012-06-15,111.4749908
2012-06-18,111.6910934
2012-06-19,112.7714081
2012-06-20,112.5886002
2012-06-21,110.0622635
2012-06-22,110.9098892
2012-06-25,109.1315002
2012-06-26,109.6799927
2012-06-27,110.6688919
2012-06-28,110.3531189
2012-06-29,113.1038666
2012-07-02,113.4445419
2012-07-03,114.1924744
2012-07-05,113.677269
2012-07-06,112.5969009
2012-07-09,112.4556503
2012-07-10,111.4749908
2012-07-11,111.4916382
2012-07-12,110.9514542
2012-07-13,112.8129807
2012-07-16,112.5470352
2012-07-17,113.3199005
2012-07-18,114.1592636
2012-07-19,114.4584351
2012-07-20,113.4113159
2012-07-23,112.2645035
2012-07-24,111.3004837
2012-07-25,111.3254318
2012-07-26,113.161972
2012-07-27,115.2479095
2012-07-30,115.2479095
2012-07-31,114.4418411
2012-08-01,114.3420944
2012-08-02,113.5526199
2012-08-03,115.8046951
2012-08-06,116.0290833
2012-08-07,116.6107788
2012-08-08,116.7521057
2012-08-09,116.8518295
2012-08-10,117.042923
2012-08-13,116.9847717
2012-08-14,117.0013809
2012-08-15,117.1343613
2012-08-16,117.9986191
2012-08-17,118.1565475
2012-08-20,118.1648483
2012-08-21,117.8074722
2012-08-22,117.8573303
2012-08-23,116.8933563
2012-08-24,117.5997391
2012-08-27,117.6246338
2012-08-28,117.5083466
2012-08-29,117.5997391
2012-08-30,116.7521057
2012-08-31,117.3088531
2012-09-04,117.2008591
2012-09-05,117.1011047
2012-09-06,119.4779053
2012-09-07,119.9432907
2012-09-10,119.2618103
2012-09-11,119.594223
2012-09-12,119.9931488
2012-09-13,121.8213577
2012-09-14,122.3615799
2012-09-17,121.9460831
2012-09-18,121.8462906
2012-09-19,121.9128189
2012-09-20,121.9211349
2012-09-21,121.8701401
2012-09-24,121.6863174
2012-09-25,120.3913574
2012-09-26,119.7146301
2012-09-27,120.8425293
2012-09-28,120.282753
2012-10-01,120.600235
2012-10-02,120.7255325
2012-10-03,121.218483
2012-10-04,122.0874023
2012-10-05,122.0957565
2012-10-08,121.6780243
2012-10-09,120.4749451
2012-10-10,119.7062912
2012-10-11,119.7731171
2012-10-12,119.3804474
2012-10-15,120.3747101
2012-10-16,121.5944672
2012-10-17,122.1458511
2012-10-18,121.828392
2012-10-19,119.7982025
2012-10-22,119.814888
2012-10-23,118.1523285
2012-10-24,117.8181
2012-10-25,118.1606827
2012-10-26,118.0938568
2012-10-31,118.0938568
2012-11-01,119.3303452
2012-11-02,118.2692719
2012-11-05,118.5115509
2012-11-06,119.4389343
2012-11-07,116.7320328
2012-11-08,115.328392
2012-11-09,115.4286957
2012-11-12,115.5205841
2012-11-13,115.119545
2012-11-14,113.5655594
2012-11-15,113.3733978
2012-11-16,113.9331741
2012-11-19,116.2391052
2012-11-20,116.2892303
2012-11-21,116.5064392
2012-11-23,118.0938568
2012-11-26,117.8431549
2012-11-27,117.2416611
2012-11-28,118.1857529
2012-11-29,118.7370834
2012-11-30,118.762207
2012-12-03,118.1773911
2012-12-04,118.0102386
2012-12-05,118.2191467
2012-12-06,118.6201477
2012-12-07,118.9794464
2012-12-10,119.029541
2012-12-11,119.8399734
2012-12-12,119.8984375
2012-12-13,119.1632156
2012-12-14,118.7204132
2012-12-17,120.1156921
2012-12-18,121.4524231
2012-12-19,120.5501175
2012-12-20,121.243515
2012-12-21,120.1430359
2012-12-24,119.7728119
2012-12-26,119.2679672
2012-12-27,119.1080856
2012-12-28,117.8207474
2012-12-31,119.8232956
2013-01-02,122.8943481
2013-01-03,122.6166992
2013-01-04,123.1551971
2013-01-07,122.8186493
2013-01-08,122.4651871
2013-01-09,122.776619
2013-01-10,123.7526016
2013-01-11,123.744194
2013-01-14,123.6600571
2013-01-15,123.744194
2013-01-16,123.7273407
2013-01-17,124.5267105
2013-01-18,124.8043518
2013-01-22,125.4774094
2013-01-23,125.6794128
2013-01-24,125.713089
2013-01-25,126.4197693
2013-01-28,126.2683563
2013-01-29,126.7647781
2013-01-30,126.2683563
2013-01-31,125.9570389
2013-02-01,127.2527924
2013-02-04,125.8224792
2013-02-05,127.0929413
2013-02-06,127.1854782
2013-02-07,127.0172577
2013-02-08,127.7240219
2013-02-11,127.6987839
2013-02-12,127.9091492
2013-02-13,128.0184479
2013-02-14,128.1362762
2013-02-15,127.9848022
2013-02-19,128.9440155
2013-02-20,127.3368988
2013-02-21,126.5628662
2013-02-22,127.7997131
2013-02-25,125.3680954
2013-02-26,126.2263184
2013-02-27,127.8165283
2013-02-28,127.5641098
2013-03-01,127.9848022
2013-03-04,128.6663513
2013-03-05,129.8190613
2013-03-06,129.9957428
2013-03-07,130.231308
2013-03-08,130.7866821
2013-03-11,131.2830811
2013-03-12,130.9886017
2013-03-13,131.1737213
2013-03-14,131.8720551
2013-03-15,131.697998
2013-03-18,130.9711304
2013-03-19,130.6668854
2013-03-20,131.5796814
2013-03-21,130.4556274
2013-03-22,131.5035706
2013-03-25,130.9542542
2013-03-26,132.0022278
2013-03-27,132.0022278
2013-03-28,132.4079285
2013-04-01,131.8838806
2013-04-02,132.5346985
2013-04-03,131.1908722
2013-04-04,131.7232971
2013-04-05,131.1317291
2013-04-08,132.019104
2013-04-09,132.4754944
2013-04-10,134.0981445
2013-04-11,134.5375977
2013-04-12,134.2080688
2013-04-15,131.0979462
2013-04-16,133.0332947
2013-04-17,131.0894623
2013-04-18,130.2696991
2013-04-19,131.4021454
2013-04-22,131.9853058
2013-04-23,133.345993
2013-04-24,133.4305115
2013-04-25,133.9713898
2013-04-26,133.7347565
2013-04-29,134.6306
2013-04-30,134.951767
2013-05-01,133.7686005
2013-05-02,135.0108948
2013-05-03,136.3800049
2013-05-06,136.7265472
2013-05-07,137.4195557
2013-05-08,138.0449371
2013-05-09,137.6562195
