,Unnamed: 0,date,bull score,bear score
273,273,2018-04-14,0.166666667,0.333333333
274,274,2018-04-16,0.0,0.0
275,275,2018-04-17,0.428571429,0.0
276,276,2018-04-18,0.166666667,0.166666667
277,277,2018-04-19,0.5,0.0
278,278,2018-04-20,0.0,0.166666667
279,279,2018-04-21,0.0,0.0
280,280,2018-04-22,0.5,0.0
281,281,2018-04-23,0.333333333,0.666666667
282,282,2018-04-24,0.0,0.333333333
283,283,2018-04-25,0.111111111,0.0
284,284,2018-04-26,0.0,0.2
285,285,2018-04-27,0.454545455,0.0
286,286,2018-04-28,0.25,0.25
287,287,2018-04-30,0.2,0.2
288,288,2018-05-01,0.4,0.1
289,289,2018-05-02,0.2,0.0
290,290,2018-05-03,0.666666667,0.0
291,291,2018-05-04,0.1,0.0
292,292,2018-05-05,0.666666667,0.0
293,293,2018-05-06,0.0,0.0
294,294,2018-05-07,0.0,0.0
295,295,2018-05-08,0.125,0.0
296,296,2018-05-09,0.0,0.0
297,297,2018-05-10,0.333333333,0.166666667
298,298,2018-05-11,0.0,0.0
299,299,2018-05-12,0.0,0.0
300,300,2018-05-14,0.0,0.2
301,301,2018-05-15,0.0,0.25
302,302,2018-05-16,0.142857143,0.142857143
303,303,2018-05-17,0.0,0.285714286
304,304,2018-05-18,0.0,0.25
305,305,2018-05-19,0.0,0.0
306,306,2018-05-20,0.0,0.333333333
307,307,2018-05-21,0.333333333,0.111111111
308,308,2018-05-22,0.0,0.0
309,309,2018-05-23,0.0,0.0
310,310,2018-05-24,0.0,0.090909091
311,311,2018-05-25,0.2,0.0
312,312,2018-05-26,0.0,0.0
313,313,2018-05-27,0.333333333,0.0
314,314,2018-05-28,0.0,0.0
315,315,2018-05-29,0.0,0.125
316,316,2018-05-30,0.0,0.0
317,317,2018-05-31,0.2,0.0
318,318,2018-06-01,0.0,0.0
319,319,2018-06-02,0.0,0.0
320,320,2018-06-03,0.125,0.0
321,321,2018-06-04,0.125,0.125
322,322,2018-06-05,0.083333333,0.0
323,323,2018-06-06,0.142857143,0.142857143
324,324,2018-06-07,0.333333333,0.333333333
325,325,2018-06-08,0.0,0.0
326,326,2018-06-09,0.0,0.0
327,327,2018-06-10,0.0,0.142857143
328,328,2018-06-11,0.166666667,0.0
329,329,2018-06-12,0.6,0.0
330,330,2018-06-13,0.090909091,0.090909091
331,331,2018-06-14,0.0625,0.125
332,332,2018-06-15,0.230769231,0.0
333,333,2018-06-16,0.2,0.2
334,334,2018-06-17,0.333333333,0.166666667
335,335,2018-06-18,0.181818182,0.0
336,336,2018-06-19,0.133333333,0.066666667
337,337,2018-06-20,0.285714286,0.142857143
338,338,2018-06-21,0.25,0.0625
339,339,2018-06-22,0.0,0.0
340,340,2018-06-23,0.0,0.0
341,341,2018-06-24,0.0,0.0
342,342,2018-06-25,0.230769231,0.076923077
343,343,2018-06-26,0.25,0.25
344,344,2018-06-27,0.1,0.1
345,345,2018-06-28,0.117647059,0.058823529
346,346,2018-06-29,0.0,0.222222222
347,347,2018-06-30,0.0,0.0
348,348,2018-07-01,0.0,0.0
349,349,2018-07-02,0.0,0.0
350,350,2018-07-03,0.0,0.0
351,351,2018-07-04,0.4,0.0
352,352,2018-07-05,0.1,0.133333333
353,353,2018-07-06,0.137931034,0.103448276
354,354,2018-07-07,0.058823529,0.058823529
355,355,2018-07-08,0.083333333,0.0
356,356,2018-07-09,0.051282051,0.051282051
357,357,2018-07-10,0.2,0.085714286
358,358,2018-07-11,0.083333333,0.041666667
359,359,2018-07-12,0.21875,0.0
360,360,2018-07-13,0.138888889,0.194444444
361,361,2018-07-14,0.0,0.166666667
362,362,2018-07-15,0.1,0.0
363,363,2018-07-16,0.068965517,0.137931034
364,364,2018-07-17,0.117647059,0.088235294
365,365,2018-07-18,0.151515152,0.121212121
366,366,2018-07-19,0.103448276,0.103448276
367,367,2018-07-20,0.117647059,0.098039216
368,368,2018-07-21,0.136363636,0.136363636
369,369,2018-07-22,0.057142857,0.028571429
370,370,2018-07-23,0.195121951,0.048780488
371,371,2018-07-24,0.12,0.08
372,372,2018-07-25,0.166666667,0.088888889
373,373,2018-07-26,0.168831169,0.12987013
374,374,2018-07-27,0.115942029,0.101449275
375,375,2018-07-28,0.111111111,0.222222222
376,376,2018-07-29,0.083333333,0.0
377,377,2018-07-30,0.098591549,0.225352113
378,378,2018-07-31,0.203389831,0.084745763
379,379,2018-08-01,0.137931034,0.172413793
380,380,2018-08-02,0.220588235,0.176470588
381,381,2018-08-03,0.16,0.12
382,382,2018-08-04,0.25,0.15
383,383,2018-08-05,0.173913043,0.260869565
384,384,2018-08-06,0.113207547,0.169811321
385,385,2018-08-07,0.181818182,0.103896104
386,386,2018-08-08,0.071428571,0.125
387,387,2018-08-09,0.051724138,0.137931034
388,388,2018-08-10,0.078947368,0.105263158
389,389,2018-08-11,0.083333333,0.125
390,390,2018-08-12,0.052631579,0.0
391,391,2018-08-13,0.105263158,0.052631579
392,392,2018-08-14,0.08,0.12
393,393,2018-08-15,0.089285714,0.196428571
394,394,2018-08-16,0.12244898,0.102040816
395,395,2018-08-17,0.14,0.14
396,396,2018-08-18,0.2,0.066666667
397,397,2018-08-19,0.210526316,0.210526316
398,398,2018-08-20,0.243243243,0.027027027
399,399,2018-08-21,0.170731707,0.12195122
400,400,2018-08-22,0.170212766,0.14893617
401,401,2018-08-23,0.057692308,0.115384615
402,402,2018-08-24,0.158730159,0.126984127
403,403,2018-08-25,0.115384615,0.115384615
404,404,2018-08-26,0.05,0.05
405,405,2018-08-27,0.203389831,0.101694915
406,406,2018-08-28,0.130434783,0.173913043
407,407,2018-08-29,0.076923077,0.134615385
408,408,2018-08-30,0.183333333,0.1
409,409,2018-08-31,0.111111111,0.111111111
410,410,2018-09-01,0.117647059,0.235294118
411,411,2018-09-02,0.107142857,0.214285714
412,412,2018-09-03,0.153846154,0.230769231
413,413,2018-09-04,0.239130435,0.108695652
414,414,2018-09-05,0.144736842,0.092105263
415,415,2018-09-06,0.15,0.083333333
416,416,2018-09-07,0.119047619,0.119047619
417,417,2018-09-08,0.107142857,0.071428571
418,418,2018-09-09,0.15,0.05
419,419,2018-09-10,0.088235294,0.117647059
420,420,2018-09-11,0.152173913,0.173913043
421,421,2018-09-12,0.085714286,0.085714286
422,422,2018-09-13,0.075,0.15
423,423,2018-09-14,0.122807018,0.175438596
424,424,2018-09-15,0.08,0.04
425,425,2018-09-16,0.172413793,0.206896552
426,426,2018-09-17,0.114754098,0.049180328
427,427,2018-09-18,0.015873016,0.174603175
428,428,2018-09-19,0.131578947,0.105263158
429,429,2018-09-20,0.151898734,0.050632911
430,430,2018-09-21,0.111111111,0.133333333
431,431,2018-09-22,0.130434783,0.043478261
432,432,2018-09-23,0.0,0.129032258
433,433,2018-09-24,0.162790698,0.093023256
